TASKID;SCHEDULETYPEID;LINES_LINEID;PLANVERSIONID
237;5212043;1571;254
238;5212024;2524;254
238;5212027;347;254
238;5212043;2524;254
239;5212024;2242;254
239;5212027;441;254
239;5212043;376;254
240;5212024;142;254
240;5212027;2842;254
240;5212043;1571;254
241;5212024;2141;254
241;5212027;431;254
241;5212043;140;254
242;5212024;421;254
242;5212027;2521;254
242;5212043;2521;254
243;5212024;2121;254
243;5212027;2121;254
243;5212043;318;254
244;5212024;421;254
244;5212027;1472;254
244;5212043;3142;254
245;5212024;2141;254
245;5212027;2521;254
245;5212043;2841;254
246;5212024;2141;254
246;5212027;302;254
247;5212024;385;254
247;5212027;2801;254
247;5212043;2241;254
248;5212024;1472;254
248;5212027;431;254
249;5212024;375;254
249;5212027;2242;254
249;5212043;3721;254
250;5212043;376;254
250;5212024;142;254
251;5212024;3192;254
251;5212027;2102;254
251;5212043;1571;254
252;5212024;2274;254
252;5212027;140;254
252;5212043;318;254
253;5212027;2521;254
253;5212024;2121;254
254;5212024;3721;254
254;5212027;347;254
254;5212043;3442;254
255;5212024;142;254
255;5212027;431;254
255;5212043;371;254
256;5212024;421;254
256;5212027;2273;254
256;5212043;2273;254
257;5212027;140;254
257;5212043;3142;254
257;5212024;318;254
258;5212024;3011;254
258;5212043;2273;254
258;5212027;3721;254
259;5212024;305;254
259;5212027;347;254
259;5212043;150;254
260;5212024;3371;254
260;5212027;3191;254
261;5212024;217;254
261;5212027;306;254
262;5212024;217;254
262;5212027;2841;254
262;5212043;3142;254
263;5212027;1472;254
263;5212043;441;254
263;5212024;3781;254
264;5212024;140;254
264;5212043;2121;254
264;5212027;441;254
265;5212024;1472;254
265;5212027;2524;254
266;5212024;3141;254
266;5212027;431;254
267;5212024;2402;254
267;5212027;3131;254
267;5212043;3721;254
268;5212024;2242;254
268;5212027;2842;254
268;5212043;2841;254
269;5212024;3411;254
269;5212027;131;254
269;5212043;1571;254
270;5212024;421;254
270;5212027;431;254
270;5212043;3124;254
271;5212024;2121;254
271;5212027;1472;254
271;5212043;2521;254
272;5212024;142;254
272;5212027;2524;254
272;5212043;3452;254
273;5212024;3122;254
273;5212027;373;254
273;5212043;2121;254
274;5212024;282;254
274;5212027;3372;254
274;5212043;2472;254
275;5212024;3371;254
275;5212027;140;254
275;5212043;2473;254
276;5212024;3122;254
276;5212027;2242;254
276;5212043;2471;254
277;5212024;140;254
277;5212027;2402;254
278;5212024;2243;254
278;5212043;3142;254
279;5212024;142;254
279;5212027;243;254
279;5212043;3371;254
280;5212027;304;254
280;5212024;3422;254
280;5212043;371;254
281;5212043;2521;254
281;5212024;3422;254
281;5212027;272;254
282;5212024;3122;254
282;5212027;3121;254
283;5212027;427;254
283;5212024;3422;254
284;5212024;140;254
284;5212027;431;254
284;5212043;1571;254
285;5212024;347;254
285;5212027;431;254
286;5212024;3422;254
286;5212027;272;254
287;5212024;282;254
287;5212027;427;254
287;5212043;251;254
288;5212027;2121;254
288;5212024;371;254
288;5212043;2121;254
289;5212043;318;254
289;5212024;2121;254
289;5212027;431;254
290;5212024;2274;254
290;5212027;2273;254
290;5212043;441;254
291;5212027;150;254
291;5212043;3142;254
292;5212024;2402;254
292;5212027;431;254
293;5212024;3171;254
293;5212027;431;254
293;5212043;2121;254
294;5212027;306;254
294;5212043;318;254
294;5212024;421;254
295;5212043;272;254
295;5212024;3413;254
295;5212027;2273;254
296;5212024;142;254
296;5212027;376;254
297;5212024;140;254
297;5212027;2471;254
297;5212043;2401;254
298;5212024;3371;254
298;5212027;370;254
298;5212043;3441;254
299;5212024;2141;254
