CALENDARID;OPERATION;SCHEDULETYPEID;PLANVERSIONID
37538;28-may-18;4852041;241
37539;29-may-18;4852041;241
37540;30-may-18;4852041;241
37541;31-may-18;4852041;241
37542;1-jun-18;4852041;241
37543;2-jun-18;4852042;241
37544;3-jun-18;4852043;241
37545;4-jun-18;4852082;241
37546;5-jun-18;4852041;241
37547;6-jun-18;4852041;241
37548;7-jun-18;4852041;241
37549;8-jun-18;4852041;241
37550;9-jun-18;4852042;241
37551;10-jun-18;4852043;241
37552;11-jun-18;4852082;241
37985;16-jul-18;4932012;243
37986;17-jul-18;4932012;243
37987;18-jul-18;4932012;243
37988;19-jul-18;4932012;243
37989;20-jul-18;4932082;243
37990;21-jul-18;4932042;243
37991;22-jul-18;4932043;243
38505;1-sep-18;4972042;246
38506;2-sep-18;4972043;246
38507;3-sep-18;4972012;246
38508;4-sep-18;4972012;246
38509;5-sep-18;4972012;246
38510;6-sep-18;4972012;246
38511;7-sep-18;4972012;246
38512;8-sep-18;4972042;246
38513;9-sep-18;4972043;246
38514;10-sep-18;4972012;246
38515;11-sep-18;4972012;246
38516;12-sep-18;4972012;246
38517;13-sep-18;4972012;246
38518;14-sep-18;4972012;246
38519;15-sep-18;4972042;246
38520;16-sep-18;4972043;246
38521;17-sep-18;4972012;246
38522;18-sep-18;4972012;246
38523;19-sep-18;4972012;246
38524;20-sep-18;4972012;246
38525;21-sep-18;4972012;246
36865;02-APR-18;4892041;236
36866;03-APR-18;4892041;236
36765;26-mar-18;4892093;235
36766;27-mar-18;4892093;235
37525;15-may-18;4852041;241
37526;16-may-18;4852041;241
37445;13-may-18;4872043;240
37446;14-may-18;4872082;240
37345;5-may-18;4872042;239
37346;6-may-18;4872043;239
33225;28-AUG-17;4652041;200
33226;29-AUG-17;4652041;200
27485;03-DEC-16;4252027;178
27486;04-DEC-16;4252020;178
27487;05-DEC-16;4252018;178
27488;06-DEC-16;4252018;178
27489;07-DEC-16;4252024;178
27490;08-DEC-16;4252026;178
27491;09-DEC-16;4252018;178
27492;10-DEC-16;4252027;178
27493;11-DEC-16;4252043;178
27527;14-DEC-16;4252041;179
27528;15-DEC-16;4252041;179
27529;16-DEC-16;4252041;179
27530;17-DEC-16;4252027;179
27531;18-DEC-16;4252043;179
27532;19-DEC-16;4252041;179
27533;20-DEC-16;4252041;179
27534;21-DEC-16;4252041;179
27535;22-DEC-16;4252041;179
27536;23-DEC-16;4252041;179
27537;24-DEC-16;4252027;179
30707;18-mar-17;4493016;189
30708;19-mar-17;4493038;189
30709;20-mar-17;4493038;189
32307;12-jun-17;4552024;195
32308;13-jun-17;4552024;195
32309;14-jun-17;4552024;195
32310;15-jun-17;4552024;195
32311;16-jun-17;4552024;195
32312;17-jun-17;4552027;195
27525;12-DEC-16;4252041;179
27526;13-DEC-16;4252041;179
32313;18-jun-17;4552020;195
32314;19-jun-17;4552095;195
32315;20-jun-17;4552024;195
32316;21-jun-17;4552024;195
32317;22-jun-17;4552024;195
32318;23-jun-17;4552024;195
32319;24-jun-17;4552027;195
32320;25-jun-17;4552020;195
32321;26-jun-17;4552095;195
33367;30-sep-17;4652016;207
33485;19-oct-17;4714122;213
33486;20-oct-17;4714122;213
33487;21-oct-17;4714016;213
32305;10-jun-17;4552027;195
32306;11-jun-17;4552020;195
33505;22-oct-17;4714038;214
33506;23-oct-17;4714122;214
33507;24-oct-17;4714122;214
33508;25-oct-17;4714122;214
33526;27-oct-17;4714122;215
33527;28-oct-17;4714016;215
